customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
41,Male,1,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),92.7,771.44,Yes
42,Male,0,No,No,6,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),79.68,467.77,No
43,Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),82.23,333.98,No
44,Female,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),82.13,494.5,No
45,Female,0,No,No,1,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.76,75.48,Yes
46,Female,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),78.16,620.01,No
47,Female,0,No,Yes,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),86.58,,No
48,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),86.83,340.37,No
49,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),91.4,2356.39,Yes
50,Female,0,No,Yes,7,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,69.04,495.09,No
51,Male,0,No,No,22,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),70.47,1588.49,No
52,Female,1,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.18,2572.69,No
53,Male,0,No,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),99.35,1713.21,No
54,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,67.5,4143.52,No
55,Male,1,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,,No
56,Female,0,Yes,No,26,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,108.92,2696.65,No
57,Female,0,Yes,No,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.54,2178.25,Yes
58,Male,0,No,No,39,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,88.88,3463.25,No
59,Male,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),94.45,277.88,No
60,Male,0,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.06,134.83,No
61,Male,0,No,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),87.13,249.96,Yes
62,Male,0,No,No,18,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),95.1,1685.93,Yes
63,Male,0,No,No,24,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.68,1871.67,Yes
64,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,88.32,644.13,No
65,Male,0,No,Yes,15,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.46,1223.59,No
66,Female,0,No,No,23,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),58.27,1396.5,Yes
67,Female,0,Yes,Yes,10,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),51.78,538.91,No
68,Male,0,Yes,Yes,38,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.35,1956.61,No
69,Female,1,No,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,18.0,507.35,No
70,Female,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),53.17,54.75,No
71,Female,0,Yes,No,19,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,81.07,1496.23,No
72,Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.74,145.24,No
73,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,78.68,1225.3,No
74,Female,0,Yes,No,62,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),84.63,5254.92,No
75,Male,1,Yes,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),110.89,4574.4,Yes
76,Female,1,No,No,10,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,99.17,957.4,Yes
77,Female,0,No,Yes,6,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,76.14,454.7,No
78,Female,1,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,88.85,460.86,No
79,Male,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,271.9,No
80,Female,0,Yes,No,2,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,102.65,213.07,No
81,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),58.5,850.81,No
82,Female,1,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,97.77,,No
83,Male,0,No,No,7,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,71.1,481.13,No
84,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.18,121.63,No
85,Male,0,No,No,70,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,51.39,3584.11,No
86,Male,0,Yes,No,25,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.12,1501.67,No
87,Female,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,148.24,No
88,Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,92.25,94.57,No
89,Female,0,No,No,14,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),78.76,1151.41,Yes
90,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),69.35,274.58,No
91,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.55,401.12,No
92,Female,0,No,No,36,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),44.35,1604.73,No
93,Female,0,Yes,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.0,328.69,No
94,Female,0,No,No,20,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,59.63,1167.42,Yes
95,Female,1,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),85.76,1248.82,No
96,Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.46,1207.3,No
97,Female,0,No,No,53,No,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,54.23,2762.45,No
98,Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),80.67,1076.51,No
99,Female,0,No,No,7,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),54.53,387.69,No
100,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),82.03,995.21,Yes
101,Male,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,94.65,386.49,No
102,Female,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,76.01,1544.58,No
103,Female,0,Yes,Yes,13,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),61.9,773.66,No
104,Female,0,No,No,2,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,58.45,114.46,No
105,Female,0,No,No,4,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,55.71,214.58,No
106,Female,0,Yes,No,13,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,63.02,847.36,No
107,Female,0,No,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,87.3,3846.59,No
108,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.57,536.61,Yes
109,Female,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,95.67,2071.34,No
110,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),98.38,823.76,No
111,Female,0,Yes,Yes,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,290.71,No
112,Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.71,1050.52,Yes
113,Female,0,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.75,446.0,No
114,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),96.71,93.91,Yes
115,Male,1,No,No,13,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),82.54,1103.48,No
116,Female,1,Yes,Yes,7,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,50.5,360.07,No
117,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),62.88,448.13,No
118,Female,0,No,No,64,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,75.13,4833.63,No
119,Female,1,No,Yes,4,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),66.15,266.28,Yes
120,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),91.38,654.74,Yes
121,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),111.89,1530.43,No
122,Male,0,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),92.58,3557.46,No
123,Female,0,No,No,10,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,74.61,773.83,Yes
124,Male,0,Yes,No,27,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,42.42,1123.45,No
125,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,77.6,2962.46,No
126,Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,128.55,Yes
127,Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),85.56,808.54,No
128,Male,0,No,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.72,220.33,No
129,Female,0,Yes,No,35,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),78.63,2732.26,No
130,Female,0,No,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,111.72,,Yes
131,Female,0,No,Yes,7,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,66.92,484.49,No
132,Male,1,Yes,Yes,22,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),101.26,2295.78,No
133,Male,0,No,No,16,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,78.29,1281.59,No
134,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Credit card (automatic),67.69,741.85,No
135,Male,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,102.77,1514.41,No
136,Male,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),86.85,351.18,No
137,Male,0,No,Yes,11,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,48.67,555.51,No
138,Male,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,97.11,1310.88,No
139,Male,0,Yes,Yes,46,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.27,3326.87,No
140,Male,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.14,197.42,No
141,Female,0,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,56.6,2256.01,No
142,Male,0,Yes,No,20,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,61.46,1287.91,No
143,Female,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),101.65,,No
144,Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,82.05,2087.76,No
145,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),75.69,,No
146,Male,1,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),70.49,5028.2,No
147,Male,0,No,No,41,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,78.87,3080.41,No
148,Male,0,Yes,No,7,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,63.25,445.64,No
149,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,86.36,No
150,Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,38.59,358.93,No
151,Male,0,Yes,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),83.55,685.28,Yes
152,Male,0,No,Yes,9,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,71.27,638.9,No
153,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.18,529.49,No
154,Male,0,Yes,No,19,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,56.02,1106.67,No
155,Male,0,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),101.19,297.15,Yes
156,Female,0,Yes,Yes,37,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,58.73,2118.47,No
157,Male,0,No,Yes,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.45,842.29,No
158,Female,0,Yes,No,12,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.59,823.79,No
159,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,94.96,3724.18,No
160,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Mailed check,89.88,435.7,Yes
161,Male,0,No,No,0,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Mailed check,97.92,,No
162,Male,1,Yes,No,19,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,75.28,1379.3,Yes
163,Female,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,205.76,No
164,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),99.86,1555.75,Yes
165,Female,0,Yes,No,45,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.85,4061.64,Yes
166,Male,0,Yes,No,70,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.9,3606.74,No
167,Female,0,No,No,20,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),98.98,2024.95,Yes
168,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),79.2,2162.58,No
169,Male,0,No,No,1,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,74.25,73.47,Yes
170,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),68.79,216.34,No
171,Female,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.03,836.86,No
172,Male,1,Yes,Yes,11,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,58.6,636.63,No
173,Male,0,Yes,Yes,11,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,63.1,680.29,No
174,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,82.06,552.0,No
175,Female,0,Yes,Yes,18,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),102.63,1845.47,No
176,Female,1,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,48.06,189.91,No
177,Male,0,No,Yes,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),80.83,1565.7,No
178,Male,0,Yes,No,3,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,66.54,205.96,Yes
179,Male,1,Yes,No,1,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),55.59,55.84,No
180,Male,1,Yes,No,8,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),55.98,426.89,No
181,Male,1,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,91.07,No
182,Male,0,Yes,Yes,43,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),68.95,2833.03,No
183,Female,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),69.2,70.01,No
184,Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,86.42,264.06,No
185,Male,1,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.81,390.0,Yes
